Datetime,NET MW,ECO O/L FG TEMP,AH O/L FG TEMP,AH I/L PA TEMP,AH O/L PA TEMP,AH I/L SECAIR TEMP,AH O/L SECAIR TEMP,ECO O/L FG ANALR 1 PRB O2 DNSTY 1 VLU,ECO O/L FG ANALR 1 PRB O2 DNSTY 2 VLU,ECO O/L FG ANALR 2 PRB O2 DNSTY 1 VLU,ECO O/L FG ANALR 2 PRB O2 DNSTY 2 VLU,ECO O/L FG PRS,AH O/L FG PRS,PAF A O/L AIR PRS,PAF B O/L AIR PRS,HPA PRS SETP BIAS PV,FDF A O/L AIR PRS,FDF B O/L AIR PRS,AH O/L SECAIR PRS,AH RTDRV CURR,B-SB STM FLW,B-SB STM TEMP,AH SOOTBLOWER HOT SIDE RETRACTED,AH SOOTBLOWER COLD SIDE RETRACTED,AH GDBRG TEMP,AH SPT BRG TEMP,AH SECAIR BYP CDPR CDRV POSN FDBK
4/1/2025 0:00,667.5687,352.1562,119.6625,44.7188,314.375,31.9937,328.2188,1.8187,2.6078,2.7531,2.4312,-1.3508,-3.9095,15.8886,15.7554,13.7149,3.5058,3.5719,1.696,28.3375,3.109,279.76,1,0,49.1062,32.4875,0
4/1/2025 0:30,665.0188,353.4062,120.0125,44.6375,315.1,31.9437,329.3125,1.9281,2.2875,2.5609,2.6156,-1.3499,-3.9085,15.5977,15.4677,13.5764,3.5124,3.5758,1.7038,28.3125,0.931,273.12,1,0,49.6875,32.45,0
4/1/2025 1:00,665.0188,353.4062,120.0875,44.625,314.775,31.8563,329,1.9969,2.7578,2.8641,2.7922,-1.3491,-3.9695,15.7131,15.6026,13.6155,3.6589,3.7232,1.799,28.3438,0.836,271.14,1,0,49.9,32.2812,0
4/1/2025 1:30,666.6125,354.3125,120.1,44.6062,315.1,31.8,329.4375,2.0078,2.4688,2.7578,2.7031,-1.3648,-4.027,15.8577,15.7635,13.7952,3.5876,3.655,1.7443,30.4813,0.875,265.86,1,0,42.1062,32.2625,0
4/1/2025 2:00,657.5813,353.875,120.175,44.5875,315.725,31.7188,329.7812,1.7109,2.4422,2.7,2.3438,-1.3788,-3.976,15.991,15.8626,13.8065,3.4266,3.4879,1.6209,29.375,0.835,260.28,1,1,46.3062,32.1812,0
4/1/2025 2:30,664.275,352.5,120.4625,44.4375,315.125,31.6,329.2188,1.7844,2.7859,3.0219,2.7687,-1.3845,-4.061,15.7424,15.6075,13.6718,3.6887,3.7556,1.7813,28.2375,9.013,276,1,1,48.1812,32.0938,0
4/1/2025 3:00,660.7688,353.4062,120.3125,44.2312,315.45,31.35,329.375,1.6016,2.425,2.9766,2.4875,-1.3884,-4.099,15.9942,15.8805,13.8181,3.6292,3.6953,1.7487,31.35,17.626,283.36,1,1,49.0312,31.9437,0
4/1/2025 3:30,655.775,353.6562,119.9375,44.5687,314.375,31.7938,328.5625,1.8375,2.6766,2.8906,2.6203,-1.3578,-4.0065,15.6335,15.4824,13.6356,3.5408,3.6069,1.7017,29.975,0.858,272.08,1,1,49.6375,31.8563,0
4/1/2025 4:00,587.775,343.375,118.775,44.4125,310.55,31.9562,322.2188,2.1406,3.2234,3.3172,2.8578,-1.1439,-3.454,14.7186,14.6179,12.8362,3.0661,3.1178,1.4503,29.5312,11.642,282.22,1,1,49.8812,31.8563,0
4/1/2025 4:30,538.6875,337.125,115.8625,44.25,304.25,32.0687,315.9688,2.3609,3.3078,3.3344,3.1344,-1.129,-3.197,14.4115,14.314,12.549,2.6011,2.6426,1.1672,29.9188,0.899,273.38,1,1,44.1562,31.8062,0
4/1/2025 5:00,540.0687,335.625,114.1,44.025,302.3,31.8438,314.3438,2.3781,3.425,3.4219,3.2359,-1.0905,-3.199,14.3806,14.2799,12.5278,2.7109,2.7472,1.2696,28.8125,0.759,264.38,1,1,47.4437,31.775,0
4/1/2025 5:30,659.175,347.5938,115.3125,44.225,306.625,31.6,322.5938,1.7219,2.4,2.7609,2.6703,-1.3429,-4.014,16.0576,15.9292,13.6804,3.5137,3.5798,1.6465,29.4062,3.105,279.44,1,0,48.875,31.75,0
4/1/2025 6:00,658.8562,353.2812,118.6125,44.0187,313,31.4375,328,1.7969,2.7391,3.0687,2.7594,-1.3355,-3.953,15.6839,15.536,13.5356,3.4804,3.5447,1.6798,28.9562,5.363,282.02,1,0,49.6125,31.7812,0
4/1/2025 6:30,564.9313,344.4375,118.175,43.9688,309.875,31.7938,322.1562,2.1312,3.0891,3.1844,3.2281,-1.1238,-3.2475,14.3822,14.2896,12.638,2.8377,2.8854,1.363,29.4188,0.814,282.34,1,0,41.9937,31.7188,0
4/1/2025 7:00,458.8937,332.2188,115.7125,43.5437,303.675,31.5875,313.3438,2.6359,4.2781,4.4203,4.1953,-0.9711,-2.5855,13.2009,13.105,11.8162,2.0782,2.1067,1.0067,29.375,0.848,291.54,1,0,46.1562,31.6375,3.8375
4/1/2025 7:30,515.525,322.875,115.9625,43.6875,295.575,31.7313,305.3438,2.1297,3.8625,4.0469,3.8359,-1.1518,-3.325,15.8643,15.731,13.493,2.8347,2.8881,1.4039,28.8937,3.784,280.4,1,0,47.8312,31.6187,0
